college,state,cds_link1,cds_link2,cds_link3,cds_link4,cds_link5
Air University,Alabama,N/A,,,,
Alabama A&M University,Alabama,N/A,,,,
Alabama College of Osteopathic Medicine,Alabama,N/A,,,,
Alabama State University,Alabama,https://www.alasu.edu/_qa/institutional-data.php,,,,
Amridge University,Alabama,N/A,,,,
Athens State University,Alabama,N/A,,,,
Auburn University,Alabama,https://auburn.edu/administration/ir/common-data-set/index.html,,,,
Auburn University at Montgomery,Alabama,https://www.aum.edu/institutional-effectiveness/institutional-research/aum-data/#1661585154086-b937494b-04da,,,,
Bevill State Community College,Alabama,N/A,,,,
Birmingham School of Law,Alabama,N/A,,,,
Bishop State Community College,Alabama,N/A,,,,
Calhoun Community College,Alabama,N/A,,,,
Central Alabama Community College,Alabama,N/A,,,,
Chattahoochee Valley Community College,Alabama,N/A,,,,
Coastal Alabama Community College,Alabama,N/A,,,,
Columbia Southern University,Alabama,N/A,,,,
Community College of the Air Force,Alabama,N/A,,,,
Drake State Community and Technical College,Alabama,N/A,,,,
Enterprise State Community College,Alabama,N/A,,,,
Faulkner University,Alabama,N/A,,,,
Gadsden State Community College,Alabama,N/A,,,,
Heritage Christian University,Alabama,N/A,,,,
Highlands College,Alabama,N/A,,,,
Huntingdon College,Alabama,N/A,,,,
Huntsville Bible College,Alabama,N/A,,,,
J. F. Ingram State Technical College,Alabama,N/A,,,,
Jacksonville State University,Alabama,https://www.jsu.edu/ire/research/common-data-set.html,,,,
Jefferson State Community College,Alabama,N/A,,,,
Lawson State Community College,Alabama,N/A,,,,
Lurleen B. Wallace Community College,Alabama,N/A,,,,
Marion Military Institute,Alabama,N/A,,,,
Miles College,Alabama,N/A,,,,
Miles Law School,Alabama,N/A,,,,
Northeast Alabama Community College,Alabama,N/A,,,,
Northwest–Shoals Community College,Alabama,N/A,,,,
Oakwood University,Alabama,N/A,,,,
Reid State Technical College,Alabama,N/A,,,,
Samford University,Alabama,https://www.samford.edu/departments/institutional-effectiveness/facts-and-stats,,,,
Selma University,Alabama,N/A,,,,
Shelton State Community College,Alabama,N/A,,,,
Snead State Community College,Alabama,N/A,,,,
Southern Union State Community College,Alabama,N/A,,,,
Spring Hill College,Alabama,N/A,,,,
Stillman College,Alabama,N/A,,,,
Talladega College,Alabama,N/A,,,,
Trenholm State Community College,Alabama,N/A,,,,
Troy University,Alabama,https://www.troy.edu/about-us/offices-departments/institutional-research-planning-effectiveness/irpe-research/common-data-set.html,,,,
Tuskegee University,Alabama,N/A,,,,
United States Sports Academy,Alabama,N/A,,,,
University of Alabama,Alabama,https://oira.ua.edu/new/reports/?Report%20Type[0][0]=Common%20Data%20Set,,,,
University of Alabama at Birmingham ,Alabama,https://www.uab.edu/institutionaleffectiveness/data-library/common-data-set,https://www.uab.edu/institutionaleffectiveness/images/documents/cds/cds-2021-22.pdf,,,
University of Alabama in Huntsville,Alabama,https://www.uah.edu/academic-affairs/offices/oirea/common-data-sets,,,,
University of Mobile,Alabama,N/A,,,,
University of Montevallo,Alabama,https://www.montevallo.edu/wp-content/uploads/2013/08/CDS_2012-2013_completed.pdf,,,,
University of North Alabama,Alabama,https://www.una.edu/research/Institutional%20Data/common-data-set.html,,,,
University of South Alabama,Alabama,https://www.southalabama.edu/departments/institutionalresearch/commondataset.html,,,,
University of West Alabama,Alabama,N/A,,,,
Wallace Community College,Alabama,N/A,,,,
Wallace Community College Selma,Alabama,N/A,,,,
Wallace State Community College,Alabama,N/A,,,,
Alaska Bible College,Alaska,N/A,,,,
Alaska Career College,Alaska,N/A,,,,
Alaska Pacific University,Alaska,N/A,,,,
Charter College,Alaska,N/A,,,,
Ilisagvik College,Alaska,N/A,,,,
Kenai Peninsula College,Alaska,N/A,,,,
Kodiak College,Alaska,N/A,,,,
Matanuska–Susitna College,Alaska,N/A,,,,
Outer Coast College,Alaska,N/A,,,,
Prince William Sound College,Alaska,N/A,,,,
Saint Herman Theological Seminary,Alaska,N/A,,,,
University of Alaska Anchorage,Alaska,N/A,,,,
University of Alaska Fairbanks,Alaska,https://www.uaf.edu/pair/pair_reports/common-data-set/,,,,
University of Alaska Southeast,Alaska,https://uas.alaska.edu/ie/external%20reporting.html,,,,
Wayland Baptist University,Alaska,N/A,,,,
A.T. Still University,Arizona,N/A,,,,
